
02-jún-2023
  91df4f3 || publish action test || Author:Milan Jurkulak
  9041a5b || publish action finalization || Author:Milan Jurkulak
  902e282 || missing data interpretation fix || Author:Milan Jurkulak
  9aa85c3 || dynamic theme support || Author:Milan Jurkulak
  81e787f || publish action test || Author:Milan Jurkulak
  76450f4 || previews improve || Author:Milan Jurkulak
  721761f || Create SECURITY.md || Author:milan
  6351d17 || publish action prepare || Author:Milan Jurkulak
  577b92b || publish action version check || Author:Milan Jurkulak
  570f013 || readme fix || Author:Milan Jurkulak
  5e07fde || new release || Author:Milan Jurkulak
  405517c || github action || Author:Milan Jurkulak
  33426aa || navigation fixes || Author:Milan Jurkulak
  319a0d3 || publish action test || Author:Milan Jurkulak
  31aa9d6 || new release || Author:Milan Jurkulak
  206c1a7 || new release || Author:Milan Jurkulak
  1c741a4 || publish action finalization || Author:Milan Jurkulak
  007eab6 || publish action version check || Author:Milan Jurkulak
  0dd9d80 || new release || Author:Milan Jurkulak
  f48a3b8 || new release || Author:Milan Jurkulak
  f35b26e || new release || Author:Milan Jurkulak
  fbf98a3 || readme update || Author:Milan Jurkulak
  fba13d3 || publish action test || Author:Milan Jurkulak
  edde44e || publish action test || Author:Milan Jurkulak
  d01230a || build cache (8 sec !) || Author:Milan Jurkulak
  dbfb664 || Merge remote-tracking branch 'origin/main' into main || Author:Milan Jurkulak
  c7b3295 || new release || Author:Milan Jurkulak
  c267557 || caching || Author:Milan Jurkulak
  ce2f0ec || publish action java upgrade || Author:Milan Jurkulak
  cbb964e || new release || Author:Milan Jurkulak
  b91d993 || new release || Author:Milan Jurkulak
  b9ef95e || code fixes, scree, htmltextview || Author:Milan Jurkulak
  b6b7762 || design improvements / material colors || Author:Milan Jurkulak
  b3a885e || readme fix || Author:Milan Jurkulak
  bbb29ce || publish action java upgrade || Author:Milan Jurkulak
  a529a2a || loader improvements || Author:Milan Jurkulak

01-jún-2023
  8faea91 || adaptive icon change & colors.xml remove || Author:Milan Jurkulak
  7226f21 || glide fix || Author:Milan Jurkulak
  1cea4d0 || api unused fic when clean || Author:Milan Jurkulak
  0c7bbf0 || mock improvement & previews improvement || Author:Milan Jurkulak
  a2b0630 || package rename / project rename || Author:Milan Jurkulak

31-máj-2023
  77a585d || icons fix || Author:Milan Jurkulak
  6907866 || Initial commit || Author:milan
  518fd3d || about fixes || Author:Milan Jurkulak
  5b5d27e || first commit || Author:Milan Jurkulak
  fc1bdcf || main plaers list fix || Author:Milan Jurkulak
  fae8d72 || mock & code clean || Author:Milan Jurkulak
  dd3e737 || mock fix || Author:Milan Jurkulak
